date,sales,price
1/27/2016,129,1.46
1/28/2016,144,1.46
1/29/2016,173,1.79
1/30/2016,293,1.79
1/31/2016,219,1.79
2/1/2016,131,1.79
2/2/2016,184,1.79
2/3/2016,266,1.79
2/4/2016,98,2.18
2/5/2016,67,2.29
2/6/2016,85,2.29
2/7/2016,78,2.29
2/8/2016,71,2.19
2/9/2016,113,2.19
2/10/2016,138,2.19
2/11/2016,98,2.19
2/12/2016,96,2.19
2/13/2016,190,2.19
2/14/2016,105,2.19
2/15/2016,25,2.19
2/16/2016,47,2.19
2/17/2016,63,2.19
2/18/2016,39,2.19
2/19/2016,35,2.19
2/20/2016,77,2.19
2/21/2016,60,2.19
2/22/2016,52,2.19
2/23/2016,51,2.19
2/24/2016,37,2.19
2/25/2016,42,2.19
2/26/2016,89,2.19
2/27/2016,217,2.19
2/28/2016,197,2.19
2/29/2016,81,2.19
3/1/2016,58,2.19
3/2/2016,120,2.19
3/3/2016,64,2.19
3/4/2016,64,2.59
3/5/2016,76,2.59
3/6/2016,86,2.59
3/7/2016,98,2.59
3/8/2016,53,2.59
3/9/2016,38,2.59
3/10/2016,46,2.19
3/11/2016,45,2.19
3/12/2016,67,2.19
3/13/2016,52,2.19
3/14/2016,24,2.19
3/15/2016,51,2.19
3/16/2016,127,2.19
3/17/2016,75,2.19
3/18/2016,62,2.19
3/19/2016,128,1.99
3/20/2016,138,1.99
3/21/2016,74,1.99
3/22/2016,73,2.59
3/23/2016,100,2.59
3/24/2016,71,2.59
3/25/2016,99,2.59
3/26/2016,102,2.59
3/27/2016,57,2.59
3/28/2016,23,2.59
3/29/2016,35,2.59
3/30/2016,59,2.59
3/31/2016,41,2.59
4/1/2016,68,2.59
4/2/2016,84,2.59
4/3/2016,42,2.59
4/4/2016,95,2.59
4/5/2016,85,2.59
4/6/2016,102,2.59
4/7/2016,111,2.59
4/8/2016,113,2.59
4/9/2016,208,2.59
4/10/2016,148,2.59
4/11/2016,123,2.59
4/12/2016,62,2.59
4/13/2016,129,2.59
4/14/2016,102,2.59
4/15/2016,110,2.59
4/16/2016,202,2.59
4/17/2016,144,2.59
4/18/2016,84,2.59
4/19/2016,127,1.89
4/20/2016,181,1.89
4/21/2016,268,1.89
4/22/2016,278,1.89
4/23/2016,234,1.89
4/24/2016,133,1.89
4/25/2016,91,1.89
4/26/2016,83,2.59
4/27/2016,139,2.59
4/28/2016,113,2.59
4/29/2016,141,2.59
4/30/2016,228,2.59
5/1/2016,163,2.59
5/2/2016,0,2.59
5/3/2016,125,2.57
5/4/2016,180,2.59
5/5/2016,222,1.88
5/6/2016,243,1.89
5/7/2016,408,1.89
5/8/2016,181,1.89
5/9/2016,176,1.88
5/10/2016,178,1.89
5/11/2016,310,1.38
5/12/2016,134,1.89
5/13/2016,132,1.89
5/14/2016,1,1.89
5/15/2016,0,0
5/16/2016,0,2.59
5/17/2016,0,2.59
5/18/2016,110,2.59
5/19/2016,81,2.59
5/20/2016,112,2.59
5/21/2016,186,2.59
5/22/2016,113,2.59
5/23/2016,86,2.59
5/24/2016,59,2.59
5/25/2016,94,2.59
5/26/2016,167,2.59
5/27/2016,244,2.59
5/28/2016,261,2.59
5/29/2016,187,2.59
5/30/2016,115,2.59
5/31/2016,139,2.59
6/1/2016,273,2.59
6/2/2016,235,2.59
6/3/2016,172,2.59
6/4/2016,323,2.59
6/5/2016,336,2.59
6/6/2016,127,2.59
6/7/2016,137,2.59
6/8/2016,249,2.59
6/9/2016,201,2.59
6/10/2016,271,1.81
6/11/2016,512,1.65
6/12/2016,317,1.66
6/13/2016,224,1.66
6/14/2016,239,1.63
6/15/2016,377,1.63
6/16/2016,239,1.69
6/17/2016,243,1.66
6/18/2016,438,1.66
6/19/2016,334,1.68
6/20/2016,149,2.59
6/21/2016,32,2.59
6/22/2016,39,2.59
6/23/2016,42,2.59
6/24/2016,64,2.39
6/25/2016,170,2.39
6/26/2016,132,2.39
6/27/2016,123,2.39
6/28/2016,78,2.39
6/29/2016,130,2.39
6/30/2016,141,2.39
7/1/2016,247,2.39
7/2/2016,322,2.39
7/3/2016,196,2.39
7/4/2016,172,2.39
7/5/2016,218,2.39
7/6/2016,216,2.39
7/7/2016,179,2.39
7/8/2016,32,2.39
7/9/2016,95,2.39
7/10/2016,78,2.39
7/11/2016,122,2.39
7/12/2016,164,1.89
7/13/2016,288,1.89
7/14/2016,138,1.89
7/15/2016,189,1.89
7/16/2016,321,1.89
7/17/2016,209,1.89
7/18/2016,161,1.89
7/19/2016,157,1.89
7/20/2016,283,1.89
7/21/2016,60,2.39
7/22/2016,98,2.39
7/23/2016,133,2.39
7/24/2016,130,2.39
7/25/2016,62,2.39
7/26/2016,97,2.39
7/27/2016,98,2.39
7/28/2016,108,2.39
7/29/2016,128,2.39
7/30/2016,270,2.39
7/31/2016,183,2.39
